Equipo Local,Equipo Visitante,Año,GolesLocal,GolesVisitante
Benfica,Zenit,2014,0,2
Zenit,Mónaco,2014,0,0
Leverkusen,Benfica,2014,3,1
Leverkusen,Zenit,2014,2,0
Mónaco,Benfica,2014,0,0
Zenit,Leverkusen,2014,1,2
Benfica,Mónaco,2014,1,0
Leverkusen,Mónaco,2014,0,1
Zenit,Benfica,2014,1,0
Mónaco,Zenit,2014,2,0
Benfica,Leverkusen,2014,0,0
Galatasaray,Anderlecht,2014,1,1
B. Dortmund,Arsenal,2014,2,0
Arsenal,Galatasaray,2014,4,1
Anderlecht,B. Dortmund,2014,0,3
Anderlecht,Arsenal,2014,1,2
Galatasaray,B. Dortmund,2014,0,4
Arsenal,Anderlecht,2014,3,3
B. Dortmund,Galatasaray,2014,4,1
Anderlecht,Galatasaray,2014,2,0
Arsenal,B. Dortmund,2014,2,0
Galatasaray,Arsenal,2014,1,4
B. Dortmund,Anderlecht,2014,1,1
Bayern,Man. City,2014,1,0
Roma,CSKA,2014,5,1
Man. City,Roma,2014,1,1
CSKA,Bayern,2014,0,1
CSKA,Man. City,2014,2,2
Roma,Bayern,2014,1,7
Bayern,Roma,2014,2,0
Man. City,CSKA,2014,1,2
CSKA,Roma,2014,1,1
Man. City,Bayern,2014,3,2
Bayern,CSKA,2014,3,0
Roma,Man. City,2014,0,2
Barcelona,Apoel,2014,1,0
Ajax,PSG,2014,1,1
PSG,Barcelona,2014,3,2
Apoel,Ajax,2014,1,1
Apoel,PSG,2014,0,1
Barcelona,Ajax,2014,3,1
PSG,Apoel,2014,1,0
Ajax,Barcelona,2014,0,2
Apoel,Barcelona,2014,0,4
PSG,Ajax,2014,3,1
Barcelona,PSG,2014,3,1
Ajax,Apoel,2014,4,0
Chelsea,Schalke,2014,1,1
Maribor,Sporting CP,2014,1,1
Sporting CP,Chelsea,2014,0,1
Schalke,Maribor,2014,1,1
Schalke,Sporting CP,2014,4,3
Chelsea,Maribor,2014,6,0
Sporting CP,Schalke,2014,4,2
Maribor,Chelsea,2014,1,1
Schalke,Chelsea,2014,0,5
Sporting CP,Maribor,2014,3,1
Chelsea,Sporting CP,2014,3,1
Maribor,Schalke,2014,0,1
Oporto,BATE Borisov,2014,6,0
Athletic,Shakhtar,2014,0,0
Shakhtar,Oporto,2014,2,2
BATE Borisov,Athletic,2014,2,1
BATE Borisov,Shakhtar,2014,0,7
Oporto,Athletic,2014,2,1
Shakhtar,BATE Borisov,2014,4,0
Athletic,Oporto,2014,0,2
BATE Borisov,Oporto,2014,0,3
Shakhtar,Athletic,2014,0,1
Oporto,Shakhtar,2014,1,1
Athletic,BATE Borisov,2014,2,0
PSG,Chelsea,2014,1,1
Shakhtar,Bayern,2014,0,0
Basilea,Oporto,2014,1,1
Schalke,R. Madrid,2014,0,2
Juventus,B. Dortmund,2014,2,1
Man. City,Barcelona,2014,1,2
Arsenal,Mónaco,2014,1,3
Leverkusen,Atlético,2014,1,0
Chelsea,PSG,2014,2,2
Bayern,Shakhtar,2014,7,0
Oporto,Basilea,2014,4,0
R. Madrid,Schalke,2014,3,4
B. Dortmund,Juventus,2014,0,3
Barcelona,Man. City,2014,1,0
Mónaco,Arsenal,2014,0,2
Atlético,Leverkusen,2014,1,0
Atlético,R. Madrid,2014,0,0
Juventus,Mónaco,2014,1,0
Oporto,Bayern,2014,3,1
PSG,Barcelona,2014,1,3
R. Madrid,Atlético,2014,1,0
Mónaco,Juventus,2014,0,0
Bayern,Oporto,2014,6,1
Barcelona,PSG,2014,2,0
Juventus,R. Madrid,2014,2,1
Barcelona,Bayern,2014,3,0
R. Madrid,Juventus,2014,1,1
Bayern,Barcelona,2014,3,2
Juventus,Barcelona,2014,1,3
PSG,Malmö,2015,2,0
R. Madrid,Shakhtar,2015,4,0
Malmö,R. Madrid,2015,0,2
Shakhtar,PSG,2015,0,3
PSG,R. Madrid,2015,0,0
Malmö,Shakhtar,2015,1,0
R. Madrid,PSG,2015,1,0
Shakhtar,Malmö,2015,4,0
Shakhtar,R. Madrid,2015,3,4
Malmö,PSG,2015,0,5
R. Madrid,Malmö,2015,8,0
PSG,Shakhtar,2015,2,0
PSV,Man. United,2015,2,1
Wolfsburgo,CSKA,2015,1,0
CSKA,PSV,2015,3,2
Man. United,Wolfsburgo,2015,2,1
Wolfsburgo,PSV,2015,2,0
CSKA,Man. United,2015,1,1
PSV,Wolfsburgo,2015,2,0
Man. United,CSKA,2015,1,0
CSKA,Wolfsburgo,2015,0,2
Man. United,PSV,2015,0,0
PSV,CSKA,2015,2,1
Wolfsburgo,Man. United,2015,3,2
Benfica,Astana,2015,2,0
Galatasaray,Atlético,2015,0,2
Astana,Galatasaray,2015,2,2
Atlético,Benfica,2015,1,2
Galatasaray,Benfica,2015,2,1
Atlético,Astana,2015,4,0
Astana,Atlético,2015,0,0
Benfica,Galatasaray,2015,2,1
Astana,Benfica,2015,2,2
Atlético,Galatasaray,2015,2,0
Benfica,Atlético,2015,1,2
Galatasaray,Astana,2015,1,1
Sevilla,M'gladbach,2015,3,0
Man. City,Juventus,2015,1,2
Juventus,Sevilla,2015,2,0
M'gladbach,Man. City,2015,1,2
Man. City,Sevilla,2015,2,1
Juventus,M'gladbach,2015,0,0
Sevilla,Man. City,2015,1,3
M'gladbach,Juventus,2015,1,1
M'gladbach,Sevilla,2015,4,2
Juventus,Man. City,2015,1,0
Sevilla,Juventus,2015,1,0
Man. City,M'gladbach,2015,4,2
Roma,Barcelona,2015,1,1
Leverkusen,BATE Borisov,2015,4,1
BATE Borisov,Roma,2015,3,2
Barcelona,Leverkusen,2015,2,1
Leverkusen,Roma,2015,4,4
BATE Borisov,Barcelona,2015,0,2
Roma,Leverkusen,2015,3,2
Barcelona,BATE Borisov,2015,3,0
BATE Borisov,Leverkusen,2015,1,1
Barcelona,Roma,2015,6,1
Roma,BATE Borisov,2015,0,0
Leverkusen,Barcelona,2015,1,1
D. Zagreb,Arsenal,2015,2,1
Olympiacos,Bayern,2015,0,3
Arsenal,Olympiacos,2015,2,3
Bayern,D. Zagreb,2015,5,0
Arsenal,Bayern,2015,2,0
D. Zagreb,Olympiacos,2015,0,1
Olympiacos,D. Zagreb,2015,2,1
Bayern,Arsenal,2015,5,1
Bayern,Olympiacos,2015,4,0
Arsenal,D. Zagreb,2015,3,0
Olympiacos,Arsenal,2015,0,3
D. Zagreb,Bayern,2015,0,2
Chelsea,Maccabi,2015,4,0
Dynamo Kiev,Oporto,2015,2,2
Oporto,Chelsea,2015,2,1
Maccabi,Dynamo Kiev,2015,0,2
Dynamo Kiev,Chelsea,2015,0,0
Oporto,Maccabi,2015,2,0
Chelsea,Dynamo Kiev,2015,2,1
Maccabi,Oporto,2015,1,3
Maccabi,Chelsea,2015,0,4
Oporto,Dynamo Kiev,2015,0,2
Chelsea,Oporto,2015,2,0
Dynamo Kiev,Maccabi,2015,1,0
Gent,Lyon,2015,1,1
Valencia,Zenit,2015,2,3
Zenit,Gent,2015,2,1
Lyon,Valencia,2015,0,1
Valencia,Gent,2015,2,1
Zenit,Lyon,2015,3,1
Gent,Valencia,2015,1,0
Lyon,Zenit,2015,0,2
Zenit,Valencia,2015,2,0
Lyon,Gent,2015,1,2
Gent,Zenit,2015,2,1
Valencia,Lyon,2015,0,2
PSG,Chelsea,2015,2,1
Benfica,Zenit,2015,1,0
Roma,R. Madrid,2015,0,2
Gent,Wolfsburgo,2015,2,3
Juventus,Bayern,2015,2,2
Arsenal,Barcelona,2015,0,2
Dynamo Kiev,Man. City,2015,1,3
PSV,Atlético,2015,0,0
Chelsea,PSG,2015,1,2
Zenit,Benfica,2015,1,2
R. Madrid,Roma,2015,2,0
Wolfsburgo,Gent,2015,1,0
Bayern,Juventus,2015,4,2
Barcelona,Arsenal,2015,3,1
Man. City,Dynamo Kiev,2015,0,0
Atlético,PSV,2015,0,0
Barcelona,Atlético,2015,2,1
Bayern,Benfica,2015,1,0
PSG,Man. City,2015,2,2
Wolfsburgo,R. Madrid,2015,2,0
Atlético,Barcelona,2015,2,0
Benfica,Bayern,2015,2,2
Man. City,PSG,2015,1,0
R. Madrid,Wolfsburgo,2015,3,0
Man. City,R. Madrid,2015,0,0
Atlético,Bayern,2015,1,0
R. Madrid,Man. City,2015,1,0
Bayern,Atlético,2015,2,1
R. Madrid,Atlético,2015,1,1
PSG,Arsenal,2016,1,1
Basilea,Ludogorets,2016,1,1
Ludogorets,PSG,2016,1,3
Arsenal,Basilea,2016,2,0
Arsenal,Ludogorets,2016,6,0
PSG,Basilea,2016,3,0
Ludogorets,Arsenal,2016,2,3
Basilea,PSG,2016,1,2
Arsenal,PSG,2016,2,2
Ludogorets,Basilea,2016,0,0
PSG,Ludogorets,2016,2,2
Basilea,Arsenal,2016,1,4
Benfica,Besiktas,2016,1,1
Dynamo Kiev,Nápoles,2016,1,2
Besiktas,Dynamo Kiev,2016,1,1
Nápoles,Benfica,2016,4,2
Dynamo Kiev,Benfica,2016,0,2
Nápoles,Besiktas,2016,2,3
Besiktas,Nápoles,2016,1,1
Benfica,Dynamo Kiev,2016,1,0
Besiktas,Benfica,2016,3,3
Nápoles,Dynamo Kiev,2016,0,0
Benfica,Nápoles,2016,1,2
Dynamo Kiev,Besiktas,2016,6,0
Barcelona,Celtic,2016,7,0
Man. City,M'gladbach,2016,4,0
Celtic,Man. City,2016,3,3
M'gladbach,Barcelona,2016,1,2
Celtic,M'gladbach,2016,0,2
Barcelona,Man. City,2016,4,0
Man. City,Barcelona,2016,3,1
M'gladbach,Celtic,2016,1,1
Celtic,Barcelona,2016,0,2
M'gladbach,Man. City,2016,1,1
Man. City,Celtic,2016,1,1
Barcelona,M'gladbach,2016,4,0
Bayern,Rostov,2016,5,0
PSV,Atlético,2016,0,1
Atlético,Bayern,2016,1,0
Rostov,PSV,2016,2,2
Bayern,PSV,2016,4,1
Rostov,Atlético,2016,0,1
Atlético,Rostov,2016,2,1
PSV,Bayern,2016,1,2
Rostov,Bayern,2016,3,2
Atlético,PSV,2016,2,0
Bayern,Atlético,2016,1,0
PSV,Rostov,2016,0,0
Leverkusen,CSKA,2016,2,2
Tottenham,Mónaco,2016,1,2
Mónaco,Leverkusen,2016,1,1
CSKA,Tottenham,2016,0,1
CSKA,Mónaco,2016,1,1
Leverkusen,Tottenham,2016,0,0
Tottenham,Leverkusen,2016,0,1
Mónaco,CSKA,2016,3,0
CSKA,Leverkusen,2016,1,1
Mónaco,Tottenham,2016,2,1
Tottenham,CSKA,2016,3,1
Leverkusen,Mónaco,2016,3,0
Legia,B. Dortmund,2016,0,6
R. Madrid,Sporting CP,2016,2,1
Sporting CP,Legia,2016,2,0
B. Dortmund,R. Madrid,2016,2,2
Sporting CP,B. Dortmund,2016,1,2
R. Madrid,Legia,2016,5,1
Legia,R. Madrid,2016,3,3
B. Dortmund,Sporting CP,2016,1,0
Sporting CP,R. Madrid,2016,1,2
B. Dortmund,Legia,2016,8,4
R. Madrid,B. Dortmund,2016,2,2
Legia,Sporting CP,2016,1,0
Brujas,Leicester,2016,0,3
Oporto,Copenhague,2016,1,1
Leicester,Oporto,2016,1,0
Copenhague,Brujas,2016,4,0
Leicester,Copenhague,2016,1,0
Brujas,Oporto,2016,1,2
Oporto,Brujas,2016,1,0
Copenhague,Leicester,2016,0,0
Leicester,Brujas,2016,2,1
Copenhague,Oporto,2016,0,0
Oporto,Leicester,2016,5,0
Brujas,Copenhague,2016,0,2
Juventus,Sevilla,2016,0,0
Lyon,D. Zagreb,2016,3,0
D. Zagreb,Juventus,2016,0,4
Sevilla,Lyon,2016,1,0
D. Zagreb,Sevilla,2016,0,1
Lyon,Juventus,2016,0,1
Juventus,Lyon,2016,1,1
Sevilla,D. Zagreb,2016,4,0
D. Zagreb,Lyon,2016,0,1
Sevilla,Juventus,2016,1,3
Juventus,D. Zagreb,2016,2,0
Lyon,Sevilla,2016,0,0
Benfica,B. Dortmund,2016,1,0
PSG,Barcelona,2016,4,0
R. Madrid,Nápoles,2016,3,1
Bayern,Arsenal,2016,5,1
Man. City,Mónaco,2016,5,3
Leverkusen,Atlético,2016,2,4
Oporto,Juventus,2016,0,2
Sevilla,Leicester,2016,2,1
B. Dortmund,Benfica,2016,4,0
Barcelona,PSG,2016,6,1
Nápoles,R. Madrid,2016,1,3
Arsenal,Bayern,2016,1,5
Mónaco,Man. City,2016,3,1
Atlético,Leverkusen,2016,0,0
Juventus,Oporto,2016,1,0
Leicester,Sevilla,2016,2,0
Juventus,Barcelona,2016,3,0
B. Dortmund,Mónaco,2016,2,3
Atlético,Leicester,2016,1,0
Bayern,R. Madrid,2016,1,2
Barcelona,Juventus,2016,0,0
Mónaco,B. Dortmund,2016,3,1
Leicester,Atlético,2016,1,1
R. Madrid,Bayern,2016,4,2
R. Madrid,Atlético,2016,3,0
Mónaco,Juventus,2016,0,2
Atlético,R. Madrid,2016,2,1
Juventus,Mónaco,2016,2,1
Juventus,R. Madrid,2016,1,4
Benfica,CSKA,2017,1,2
Man. United,Basilea,2017,3,0
CSKA,Man. United,2017,1,4
Basilea,Benfica,2017,5,0
Benfica,Man. United,2017,0,1
CSKA,Basilea,2017,0,2
Basilea,CSKA,2017,1,2
Man. United,Benfica,2017,2,0
CSKA,Benfica,2017,2,0
Basilea,Man. United,2017,1,0
Benfica,Basilea,2017,0,2
Man. United,CSKA,2017,2,1
Bayern,Anderlecht,2017,3,0
Celtic,PSG,2017,0,5
PSG,Bayern,2017,3,0
Anderlecht,Celtic,2017,0,3
Anderlecht,PSG,2017,0,4
Bayern,Celtic,2017,3,0
Celtic,Bayern,2017,1,2
PSG,Anderlecht,2017,5,0
Anderlecht,Bayern,2017,1,2
PSG,Celtic,2017,7,1
Bayern,PSG,2017,3,1
Celtic,Anderlecht,2017,0,1
Roma,Atlético,2017,0,0
Chelsea,Qarabag,2017,6,0
Qarabag,Roma,2017,1,2
Atlético,Chelsea,2017,1,2
Qarabag,Atlético,2017,0,0
Chelsea,Roma,2017,3,3
Atlético,Qarabag,2017,1,1
Roma,Chelsea,2017,3,0
Qarabag,Chelsea,2017,0,4
Atlético,Roma,2017,2,0
Roma,Qarabag,2017,1,0
Chelsea,Atlético,2017,1,1
Barcelona,Juventus,2017,3,0
Olympiacos,Sporting CP,2017,2,3
Sporting CP,Barcelona,2017,0,1
Juventus,Olympiacos,2017,2,0
Juventus,Sporting CP,2017,2,1
Barcelona,Olympiacos,2017,3,1
Olympiacos,Barcelona,2017,0,0
Sporting CP,Juventus,2017,1,1
Juventus,Barcelona,2017,0,0
Sporting CP,Olympiacos,2017,3,1
Barcelona,Sporting CP,2017,2,0
Olympiacos,Juventus,2017,0,2
Maribor,Spartak Moscú,2017,1,1
Liverpool,Sevilla,2017,2,2
Sevilla,Maribor,2017,3,0
Spartak Moscú,Liverpool,2017,1,1
Spartak Moscú,Sevilla,2017,5,1
Maribor,Liverpool,2017,0,7
Liverpool,Maribor,2017,3,0
Sevilla,Spartak Moscú,2017,2,1
Spartak Moscú,Maribor,2017,1,1
Sevilla,Liverpool,2017,3,3
Maribor,Sevilla,2017,1,1
Liverpool,Spartak Moscú,2017,7,0
Feyenoord,Man. City,2017,0,4
Shakhtar,Nápoles,2017,2,1
Nápoles,Feyenoord,2017,3,1
Man. City,Shakhtar,2017,2,0
Man. City,Nápoles,2017,2,1
Feyenoord,Shakhtar,2017,1,2
Nápoles,Man. City,2017,2,4
Shakhtar,Feyenoord,2017,3,1
Nápoles,Shakhtar,2017,3,0
Man. City,Feyenoord,2017,1,0
Feyenoord,Nápoles,2017,2,1
Shakhtar,Man. City,2017,2,1
Oporto,Besiktas,2017,1,3
Leipzig,Mónaco,2017,1,1
Mónaco,Oporto,2017,0,3
Besiktas,Leipzig,2017,2,0
Leipzig,Oporto,2017,3,2
Mónaco,Besiktas,2017,1,2
Besiktas,Mónaco,2017,1,1
Oporto,Leipzig,2017,3,1
Besiktas,Oporto,2017,1,1
Mónaco,Leipzig,2017,1,4
Oporto,Mónaco,2017,5,2
Leipzig,Besiktas,2017,1,2
Tottenham,B. Dortmund,2017,3,1
R. Madrid,Apoel,2017,3,0
B. Dortmund,R. Madrid,2017,1,3
Apoel,Tottenham,2017,0,3
Apoel,B. Dortmund,2017,1,1
R. Madrid,Tottenham,2017,1,1
Tottenham,R. Madrid,2017,3,1
B. Dortmund,Apoel,2017,1,1
Apoel,R. Madrid,2017,0,6
B. Dortmund,Tottenham,2017,1,2
Tottenham,Apoel,2017,3,0
R. Madrid,B. Dortmund,2017,3,2
Juventus,Tottenham,2017,2,2
Basilea,Man. City,2017,0,4
Oporto,Liverpool,2017,0,5
R. Madrid,PSG,2017,3,1
Chelsea,Barcelona,2017,1,1
Bayern,Besiktas,2017,5,0
Sevilla,Man. United,2017,0,0
Shakhtar,Roma,2017,2,1
Tottenham,Juventus,2017,1,2
Man. City,Basilea,2017,1,2
Liverpool,Oporto,2017,0,0
PSG,R. Madrid,2017,1,2
Barcelona,Chelsea,2017,3,0
Besiktas,Bayern,2017,1,3
Man. United,Sevilla,2017,1,2
Roma,Shakhtar,2017,1,0
Juventus,R. Madrid,2017,0,3
Sevilla,Bayern,2017,1,2
Liverpool,Man. City,2017,3,0
Barcelona,Roma,2017,4,1
R. Madrid,Juventus,2017,1,3
Bayern,Sevilla,2017,0,0
Man. City,Liverpool,2017,1,2
Roma,Barcelona,2017,3,0
Liverpool,Roma,2017,5,2
Bayern,R. Madrid,2017,1,2
Roma,Liverpool,2017,4,2
R. Madrid,Bayern,2017,2,2
R. Madrid,Liverpool,2017,3,1
Brujas,B. Dortmund,2018,0,1
Mónaco,Atlético,2018,1,2
Atlético,Brujas,2018,3,1
B. Dortmund,Mónaco,2018,3,0
Brujas,Mónaco,2018,1,1
B. Dortmund,Atlético,2018,4,0
Mónaco,Brujas,2018,0,4
Atlético,B. Dortmund,2018,2,0
Atlético,Mónaco,2018,2,0
B. Dortmund,Brujas,2018,0,0
Brujas,Atlético,2018,0,0
Mónaco,B. Dortmund,2018,0,2
Barcelona,PSV,2018,4,0
Inter,Tottenham,2018,2,1
PSV,Inter,2018,1,2
Tottenham,Barcelona,2018,2,4
PSV,Tottenham,2018,2,2
Barcelona,Inter,2018,2,0
Inter,Barcelona,2018,1,1
Tottenham,PSV,2018,2,1
PSV,Barcelona,2018,1,2
Tottenham,Inter,2018,1,0
Barcelona,Tottenham,2018,1,1
Inter,PSV,2018,1,1
Estrella Roja,Nápoles,2018,0,0
Liverpool,PSG,2018,3,2
PSG,Estrella Roja,2018,6,1
Nápoles,Liverpool,2018,1,0
Liverpool,Estrella Roja,2018,4,0
PSG,Nápoles,2018,2,2
Estrella Roja,Liverpool,2018,2,0
Nápoles,PSG,2018,1,1
Nápoles,Estrella Roja,2018,3,1
PSG,Liverpool,2018,2,1
Estrella Roja,PSG,2018,1,4
Liverpool,Nápoles,2018,1,0
Schalke,Oporto,2018,1,1
Galatasaray,Lokomotiv,2018,3,0
Lokomotiv,Schalke,2018,0,1
Oporto,Galatasaray,2018,1,0
Galatasaray,Schalke,2018,0,0
Lokomotiv,Oporto,2018,1,3
Oporto,Lokomotiv,2018,4,1
Schalke,Galatasaray,2018,2,0
Lokomotiv,Galatasaray,2018,2,0
Oporto,Schalke,2018,3,1
Schalke,Lokomotiv,2018,1,0
Galatasaray,Oporto,2018,2,3
Ajax,AEK Atenas,2018,3,0
Benfica,Bayern,2018,0,2
AEK Atenas,Benfica,2018,2,3
Bayern,Ajax,2018,1,1
AEK Atenas,Bayern,2018,0,2
Ajax,Benfica,2018,1,0
Bayern,AEK Atenas,2018,2,0
Benfica,Ajax,2018,1,1
AEK Atenas,Ajax,2018,0,2
Bayern,Benfica,2018,5,1
Ajax,Bayern,2018,3,3
Benfica,AEK Atenas,2018,1,0
Shakhtar,Hoffenheim,2018,2,2
Man. City,Lyon,2018,1,2
Hoffenheim,Man. City,2018,1,2
Lyon,Shakhtar,2018,2,2
Hoffenheim,Lyon,2018,3,3
Shakhtar,Man. City,2018,0,3
Lyon,Hoffenheim,2018,2,2
Man. City,Shakhtar,2018,6,0
Hoffenheim,Shakhtar,2018,2,3
Lyon,Man. City,2018,2,2
Man. City,Hoffenheim,2018,2,1
Shakhtar,Lyon,2018,1,1
V. Pilsen,CSKA,2018,2,2
R. Madrid,Roma,2018,3,0
Roma,V. Pilsen,2018,5,0
CSKA,R. Madrid,2018,1,0
Roma,CSKA,2018,3,0
R. Madrid,V. Pilsen,2018,2,1
CSKA,Roma,2018,1,2
V. Pilsen,R. Madrid,2018,0,5
CSKA,V. Pilsen,2018,1,2
Roma,R. Madrid,2018,0,2
V. Pilsen,Roma,2018,2,1
R. Madrid,CSKA,2018,0,3
Young Boys,Man. United,2018,0,3
Valencia,Juventus,2018,0,2
Juventus,Young Boys,2018,3,0
Man. United,Valencia,2018,0,0
Young Boys,Valencia,2018,1,1
Man. United,Juventus,2018,0,1
Valencia,Young Boys,2018,3,1
Juventus,Man. United,2018,1,2
Juventus,Valencia,2018,1,0
Man. United,Young Boys,2018,1,0
Young Boys,Juventus,2018,2,1
Valencia,Man. United,2018,2,1
Roma,Oporto,2018,2,1
Man. United,PSG,2018,0,2
Ajax,R. Madrid,2018,1,2
Tottenham,B. Dortmund,2018,3,0
Liverpool,Bayern,2018,0,0
Lyon,Barcelona,2018,0,0
Atlético,Juventus,2018,2,0
Schalke,Man. City,2018,2,3
Oporto,Roma,2018,3,1
PSG,Man. United,2018,1,3
R. Madrid,Ajax,2018,1,4
B. Dortmund,Tottenham,2018,0,1
Bayern,Liverpool,2018,1,3
Barcelona,Lyon,2018,5,1
Juventus,Atlético,2018,3,0
Man. City,Schalke,2018,7,0
Liverpool,Oporto,2018,2,0
Tottenham,Man. City,2018,1,0
Ajax,Juventus,2018,1,1
Man. United,Barcelona,2018,0,1
Oporto,Liverpool,2018,1,4
Man. City,Tottenham,2018,4,3
Juventus,Ajax,2018,1,2
Barcelona,Man. United,2018,3,0
Tottenham,Ajax,2018,0,1
Barcelona,Liverpool,2018,3,0
Ajax,Tottenham,2018,2,3
Liverpool,Barcelona,2018,4,0
Tottenham,Liverpool,2018,0,2
Brujas,Galatasaray,2019,0,0
PSG,R. Madrid,2019,3,0
R. Madrid,Brujas,2019,2,2
Galatasaray,PSG,2019,0,1
Brujas,PSG,2019,0,5
Galatasaray,R. Madrid,2019,0,1
PSG,Brujas,2019,1,0
R. Madrid,Galatasaray,2019,6,0
Galatasaray,Brujas,2019,1,1
R. Madrid,PSG,2019,2,2
PSG,Galatasaray,2019,5,0
Brujas,R. Madrid,2019,1,3
Olympiacos,Tottenham,2019,2,2
Bayern,Estrella Roja,2019,3,0
Tottenham,Bayern,2019,2,7
Estrella Roja,Olympiacos,2019,3,1
Tottenham,Estrella Roja,2019,5,0
Olympiacos,Bayern,2019,2,3
Bayern,Olympiacos,2019,2,0
Estrella Roja,Tottenham,2019,0,4
Tottenham,Olympiacos,2019,4,2
Estrella Roja,Bayern,2019,0,6
Bayern,Tottenham,2019,3,1
Olympiacos,Estrella Roja,2019,1,0
Shakhtar,Man. City,2019,0,3
D. Zagreb,Atalanta,2019,4,0
Atalanta,Shakhtar,2019,1,2
Man. City,D. Zagreb,2019,2,0
Shakhtar,D. Zagreb,2019,2,2
Man. City,Atalanta,2019,5,1
D. Zagreb,Shakhtar,2019,3,3
Atalanta,Man. City,2019,1,1
Man. City,Shakhtar,2019,1,1
Atalanta,D. Zagreb,2019,2,0
Shakhtar,Atalanta,2019,0,3
D. Zagreb,Man. City,2019,1,4
Atlético,Juventus,2019,2,2
Leverkusen,Lokomotiv,2019,1,2
Juventus,Leverkusen,2019,3,0
Lokomotiv,Atlético,2019,0,2
Atlético,Leverkusen,2019,1,0
Juventus,Lokomotiv,2019,2,1
Lokomotiv,Juventus,2019,1,2
Leverkusen,Atlético,2019,2,1
Lokomotiv,Leverkusen,2019,0,2
Juventus,Atlético,2019,1,0
Atlético,Lokomotiv,2019,2,0
Leverkusen,Juventus,2019,0,2
Nápoles,Liverpool,2019,2,0
Salzburgo,Genk,2019,6,2
Genk,Nápoles,2019,0,0
Liverpool,Salzburgo,2019,4,3
Salzburgo,Nápoles,2019,2,3
Genk,Liverpool,2019,1,4
Liverpool,Genk,2019,2,1
Nápoles,Salzburgo,2019,1,1
Liverpool,Nápoles,2019,1,1
Genk,Salzburgo,2019,1,4
Nápoles,Genk,2019,4,0
Salzburgo,Liverpool,2019,0,2
Inter,Slavia Praga,2019,1,1
B. Dortmund,Barcelona,2019,0,0
Slavia Praga,B. Dortmund,2019,0,2
Barcelona,Inter,2019,2,1
Inter,B. Dortmund,2019,2,0
Slavia Praga,Barcelona,2019,1,2
Barcelona,Slavia Praga,2019,0,0
B. Dortmund,Inter,2019,3,2
Barcelona,B. Dortmund,2019,3,1
Slavia Praga,Inter,2019,1,3
B. Dortmund,Slavia Praga,2019,2,1
Inter,Barcelona,2019,1,2
Lyon,Zenit,2019,1,1
Benfica,Leipzig,2019,1,2
Zenit,Benfica,2019,3,1
Leipzig,Lyon,2019,0,2
Leipzig,Zenit,2019,2,1
Benfica,Lyon,2019,2,1
Zenit,Leipzig,2019,0,2
Lyon,Benfica,2019,3,1
Zenit,Lyon,2019,2,0
Leipzig,Benfica,2019,2,2
Benfica,Zenit,2019,3,0
Lyon,Leipzig,2019,2,2
Chelsea,Valencia,2019,0,1
Ajax,Lille,2019,3,0
Valencia,Ajax,2019,0,3
Lille,Chelsea,2019,1,2
Ajax,Chelsea,2019,0,1
Lille,Valencia,2019,1,1
Chelsea,Ajax,2019,4,4
Valencia,Lille,2019,4,1
Valencia,Chelsea,2019,2,2
Lille,Ajax,2019,0,2
Chelsea,Lille,2019,2,1
Ajax,Valencia,2019,0,1
Roma,Oporto,2019,2,1
Man. United,PSG,2019,0,2
Ajax,R. Madrid,2019,1,2
Tottenham,B. Dortmund,2019,3,0
Liverpool,Bayern,2019,0,0
Lyon,Barcelona,2019,0,0
Atlético,Juventus,2019,2,0
Schalke,Man. City,2019,2,3
Oporto,Roma,2019,3,1
PSG,Man. United,2019,1,3
R. Madrid,Ajax,2019,1,4
B. Dortmund,Tottenham,2019,0,1
Bayern,Liverpool,2019,1,3
Barcelona,Lyon,2019,5,1
Juventus,Atlético,2019,3,0
Man. City,Schalke,2019,7,0
Liverpool,Oporto,2019,2,0
Tottenham,Man. City,2019,1,0
Ajax,Juventus,2019,1,1
Man. United,Barcelona,2019,0,1
Oporto,Liverpool,2019,1,4
Man. City,Tottenham,2019,4,3
Juventus,Ajax,2019,1,2
Barcelona,Man. United,2019,3,0
Tottenham,Ajax,2019,0,1
Barcelona,Liverpool,2019,3,0
Ajax,Tottenham,2019,2,3
Liverpool,Barcelona,2019,4,0
Tottenham,Liverpool,2019,0,2
Salzburgo,Lokomotiv,2020,2,2
Bayern,Atlético,2020,4,0
Lokomotiv,Bayern,2020,1,2
Atlético,Salzburgo,2020,3,2
Lokomotiv,Atlético,2020,1,1
Salzburgo,Bayern,2020,2,6
Bayern,Salzburgo,2020,3,1
Atlético,Lokomotiv,2020,0,0
Lokomotiv,Salzburgo,2020,1,3
Atlético,Bayern,2020,1,1
Bayern,Lokomotiv,2020,2,0
Salzburgo,Atlético,2020,0,2
R. Madrid,Shakhtar,2020,2,3
Inter,M'gladbach,2020,2,2
Shakhtar,Inter,2020,0,0
M'gladbach,R. Madrid,2020,2,2
Shakhtar,M'gladbach,2020,0,6
R. Madrid,Inter,2020,3,2
M'gladbach,Shakhtar,2020,4,0
Inter,R. Madrid,2020,0,2
Shakhtar,R. Madrid,2020,2,0
M'gladbach,Inter,2020,2,3
R. Madrid,M'gladbach,2020,2,0
Inter,Shakhtar,2020,0,0
Man. City,Oporto,2020,3,1
Olympiacos,Marsella,2020,1,0
